PDGA_NUMBER,MEMBER_FULL_NAME,MEMBER_CITY,MEMBER_STATE_PROV,COUNTRY_ID,MEMBER_POSTAL_ZIP,MEMBER_ADDRESS,MEMBER_ADDRESS_LINE_2,MEMBER_LAT,MEMBER_LON,MEMBER_ADDRESS_FORMATTED
237777,Nymphadora Tonks,Winnipeg,MB,CA,R3J 0G7,1839 Portage Ave,,41.70032048,-86.27287761,"1839 Portage Avenue, South Bend, IN 46616, United States of America"
245048,James Potter,Winnipeg,MB,CA,R2C 4H9,1639 Regent Ave W,,40.5744225,-122.4226061,"1639 Regent Avenue, Redding, CA 96001, United States of America"
246627,Draco Malfoy,Winnipeg,MB,CA,R3M0Y1,788 Corydon Ave,,33.9227495,-117.5823191,"788 Corydon Avenue, Norco, CA 92860, United States of America"
248038,Benedict Cumberland,Winchendon,MA,US,1475,32 Central St,,42.232867,-72.142488,"32 Central Street, West Brookfield, MA 01585, United States of America"
248935,Kingsley Shacklebolt,Steinbach,MB,CA,R5G 1Z2,301 Main St,,42.495265,-88.093509,"301 Main Street, Antioch, IL 60002, United States of America"
248958,Frankie Mesa,Springfield,MA,US,1129,455 Breckwood Blvd,,42.11716317,-72.52413527,"455 Breckwood Boulevard, Springfield, MA 01109, United States of America"
249355,Olympe Maxime,Selkirk,MB,CA,R1A 1T7,371 Main St,,42.4746854,-71.0368908,"371 Main Street, Saugus, MA 02176, United States of America"
249410,Fawkes,Bemidji,MN,US,56601,301 MILES AVE SE,,47.458698,-94.850321,"301 Miles Avenue Southeast, Bemidji, MN 56601, United States of America"
251483,Bill Weasley,Winnipeg,MB,CA,R2H 1Z9,268 Tache Ave,,36.437183,-119.686059,"268 East Tache Avenue, Laton, CA 93242, United States of America"
256964,The Fat Lady,Bemidji,MN,US,56601-3226,201 SHEVLIN AVE SW,,47.460121,-94.864948,"201 Shevlin Avenue Southwest, Bemidji, MN 56601, United States of America"
261865,"Alastor ""Mad Eye"" Moody",Winnipeg,MB,CA,R3T2H5,2935 Pembina Hwy,,30.31409,-91.89752,"2935 Main Hwy Highway, Breaux Bridge, LA 70517, United States of America"
262077,George Weasley,Winnipeg,MB,CA,R2H1J2,219 St Mary�s Rd,,40.995888,-79.629371,"219 Saint Marys Cemetery Road, Bradys Bend, PA 16028, United States of America"
266341,Peeves,Winnipeg,MB,CA,R2H 0T1,112 Marion St,,40.6798705,-73.92637305,"112 Marion Street, New York, NY 11233, United States of America"
270296,Gregory Goyle,Winnipeg,MB,CA,R3C 0M8,242 Hargrave St,,35.82403775,-80.25752661,"242 Hargrave Street, Lexington, NC 27292, United States of America"
271726,Firenze,Brandon,MB,CA,R7A 0J1,39 9th St,,27.243497,-80.83912,"39 9th Street, Okeechobee, FL 34974, United States of America"
273934,Nearly Headless Nick,Victoria,BC,CA,V9B 2Y5,1002 Goldstream Ave,,30.276439,-91.890136,"1002 Park Ave Avenue, Breaux Bridge, LA 70517, United States of America"
276696,Percy Weasley,Winnipeg,MB,CA,R3T2B4,1330 Pembina Hwy,,48.576596,-97.447861,"1330 United States Highway 81, St. Thomas, ND 58276, United States of America"
277480,Jaxon Wrench,Lebanon,NH,US,3766,1 N Park St,,43.494839,-70.467341,"1 North Park Street, Biddeford, ME 04005, United States of America"
277483,Paul Hampton,Westfield,MA,US,1085,158 Sanders Rd,,30.8764029,-93.28992751,"158 Sanders Road, DeRidder, LA 70634, United States of America"
282066,Kreacher,Winnipeg,MB,CA,R2L0C8,412 Union Ave W,,47.55805664,-122.6778145,"412 Union Avenue, Bremerton, WA 98312, United States of America"
284518,Ginny Weasley,Winnipeg,MB,CA,R2X1T5,1449 Arlington St,,29.79717727,-95.39443171,"1449 Arlington Street, Houston, TX 77008, United States of America"
288393,Tito Garcia,Greenfield,MA,US,1301,145 Federal St,,42.5202414,-70.90437245,"145 Federal Street, Salem, MA 01970, United States of America"
289069,Phineas Nigellus Black,Portage La Prarie,MB,CA,R1N 3N8,2460 Saskatchewan Ave W,,32.951999,-117.118651,"9633 Saskatchewan Avenue, San Diego, CA 92129, United States of America"
291437,Viktor Krum,Winnipeg,MB,CA,R3C 0C3,346 unit B Portage Ave,,46.7297035,-119.9038163,"346 Portage Avenue, Grant County, WA 99349, United States of America"
292835,Quirinus Quirrell,Calgary,AB,CA,T2H 0X6,7207 Fairmount Dr SE,#404,39.718334,-75.119175,"Fairmount Drive, Glassboro, NJ 08028, United States of America"
293399,Arthur Weasley,Winnipeg,MB,CA,R3J0P7,3326 Portage Ave,,41.71869522,-86.28365894,"3326 Portage Avenue, South Bend, IN 46628, United States of America"
296769,Godric Gryffindor,Bemidji,MN,US,56601-8907,4300 PINTAIL LN NE,550,47.514936,-94.81711,"4300 Pintail Lane Northeast, Northern, MN 56601, United States of America"
298859,Colin Creevey,Brandon,MB,CA,R7A 5C3,1260 18th St,Unit F,43.4226189,-95.1086467,"1260 18th Street, Spirit Lake, IA 51360, United States of America"
300104,Dell Green,Brattleboro,VT,US,5301,436 Western Ave,,42.3623223,-71.1408984,"436 Western Avenue, Boston, MA 02135, United States of America"
300710,Vincent Crabbe,Winnipeg,MB,CA,R3C 0M5,250 St Mary Ave,,35.44693029,-120.8989639,"250 Saint Mary Avenue, Cayucos, CA 93430, United States of America"
